Run	Rx	Rx 95% CI	Ry	Ry 95% CI
ERR5397583	0.8064	"(0.796, 0.817)"	0.0004	"(0.0, 0.001)"
ERR5407964	0.417	"(0.412, 0.422)"	0.0387	"(0.038, 0.04)"
ERR5415064	0.8304	"(0.82, 0.841)"	0.0002	"(0.0, 0.0)"
ERR5416255	0.4168	"(0.412, 0.422)"	0.043	"(0.042, 0.044)"
ERR1762124	0.8565	"(0.847, 0.866)"	0.0007	"(0.001, 0.001)"
ERR1762123	0.8561	"(0.847, 0.865)"	0.0007	"(0.001, 0.001)"
ERR1762126	0.8563	"(0.847, 0.866)"	0.0008	"(0.001, 0.001)"
ERR1762125	0.8555	"(0.846, 0.865)"	0.0007	"(0.001, 0.001)"
ERR5411943	0.4149	"(0.41, 0.42)"	0.0421	"(0.041, 0.043)"
ERR5396014	0.4096	"(0.404, 0.415)"	0.0399	"(0.039, 0.041)"
ERR1762100	0.8148	"(0.805, 0.825)"	0.0006	"(0.001, 0.001)"
ERR1762102	0.8143	"(0.804, 0.825)"	0.0006	"(0.001, 0.001)"
ERR1762099	0.8125	"(0.802, 0.823)"	0.0006	"(0.0, 0.001)"
ERR1762101	0.8135	"(0.803, 0.824)"	0.0007	"(0.001, 0.001)"
ERR5396012	0.825	"(0.815, 0.835)"	0.0009	"(0.001, 0.001)"
ERR1762112	0.8779	"(0.869, 0.887)"	0.0008	"(0.001, 0.001)"
ERR1762114	0.8769	"(0.868, 0.886)"	0.0007	"(0.001, 0.001)"
ERR1762111	0.8801	"(0.871, 0.889)"	0.0008	"(0.001, 0.001)"
ERR5414703	0.8378	"(0.828, 0.848)"	0.0002	"(0.0, 0.0)"
ERR1762113	0.8802	"(0.871, 0.889)"	0.0008	"(0.001, 0.001)"
ERR5396009	0.8306	"(0.821, 0.841)"	0.0008	"(0.001, 0.001)"
ERR1762108	0.824	"(0.814, 0.834)"	0.0008	"(0.001, 0.001)"
ERR1762110	0.8262	"(0.816, 0.836)"	0.0008	"(0.001, 0.001)"
ERR1762107	0.8226	"(0.813, 0.832)"	0.0009	"(0.001, 0.001)"
ERR1762109	0.823	"(0.813, 0.833)"	0.0008	"(0.001, 0.001)"
ERR5411940	0.4135	"(0.408, 0.419)"	0.0468	"(0.046, 0.048)"
ERR1762132	0.4321	"(0.427, 0.437)"	0.0013	"(0.001, 0.001)"
ERR1762134	0.4312	"(0.426, 0.436)"	0.0012	"(0.001, 0.001)"
ERR1762131	0.4314	"(0.427, 0.436)"	0.0013	"(0.001, 0.001)"
ERR1762133	0.4321	"(0.427, 0.437)"	0.0011	"(0.001, 0.001)"
ERR5416173	0.827	"(0.817, 0.837)"	0.0009	"(0.001, 0.001)"
ERR5415063	0.4167	"(0.412, 0.422)"	0.0434	"(0.043, 0.044)"
ERR5411937	0.8392	"(0.83, 0.849)"	0.0004	"(0.0, 0.0)"
ERR5396010	0.4193	"(0.414, 0.425)"	0.043	"(0.042, 0.044)"
ERR5411939	0.8249	"(0.815, 0.835)"	0.0007	"(0.001, 0.001)"
ERR5395819	0.4156	"(0.41, 0.421)"	0.044	"(0.043, 0.045)"
ERR5396157	0.8243	"(0.814, 0.834)"	0.0003	"(0.0, 0.0)"
