method	class	precision	recall	f1-score	n_correct	n_incorrect	n_uncertain
SCiMS	Male	0.9858956276445698	0.9872881355932204	0.986591390261115	699	10	9
SCiMS	Female	0.9587020648967551	0.5354200988467874	0.6871035940803383	325	14	282
BeXY	Male	0.5384615384615384	0.8089622641509434	0.646559849198869	343	294	81
BeXY	Female	0.474169741697417	0.7648809523809523	0.5854214123006835	257	285	79
Rx	Male	0.9813084112149533	0.44241573033707865	0.6098741529525654	315	6	397
Rx	Female	0.9178082191780822	0.10894308943089431	0.1947674418604651	67	6	548
Ry	Male	0.976911976911977	0.9643874643874644	0.9706093189964158	677	16	25
Ry	Female	0.9966666666666667	0.9660743134087237	0.9811320754716981	598	2	21
