sample	sex_karyotype
S15M5000	XY
S15M10000	XY
S15M100000	XY
S15M1000000	XY
S16F150	XX
S16F200	XX
S16F250	uncertain
S16F300	XX
S16F350	XX
S16F400	uncertain
S16F450	XX
S16F1000	XX
S16F5000	XX
S16F10000	XX
S16F100000	XX
S16F1000000	XX
S16M150	uncertain
S16M200	uncertain
S16M250	XY
S16M300	uncertain
S16M350	XY
S16M400	XY
S16M450	XY
S16M1000	XY
S16M5000	XY
S16M10000	XY
S16M100000	XY
S16M1000000	XY
S17F150	XX
S17F200	uncertain
S17F250	XX
S17F300	XX
S17F350	uncertain
S17F400	uncertain
S17F450	XX
S17F1000	XX
S17F5000	XX
S17F10000	XX
S17F100000	XX
S17F1000000	XX
S17M150	uncertain
S17M200	uncertain
S17M250	XY
S17M300	XY
S17M350	XY
S17M400	XY
S17M450	XY
S17M1000	XY
S17M5000	XY
S17M10000	XY
S17M100000	XY
S17M1000000	XY
S18F150	uncertain
S18F200	uncertain
S18F250	XX
S18F300	XX
S18F350	uncertain
S18F400	XX
S18F450	XX
S18F1000	XX
S18F5000	XX
S18F10000	XX
S18F100000	XX
S18F1000000	XX
S18M150	XY
S18M200	XY
S18M250	XY
S18M300	uncertain
S18M350	XY
S18M400	XY
S18M450	XY
S18M1000	XY
S18M5000	XY
S18M10000	XY
S18M100000	XY
S18M1000000	XY
S19F150	uncertain
S19F200	uncertain
S19F250	XX
S19F300	XX
S19F350	XX
S19F400	XX
S19F450	XX
S19F1000	XX
S19F5000	XX
S19F10000	XX
S19F100000	XX
S19F1000000	XX
S19M150	XY
S19M200	XY
S19M250	XY
S19M300	XY
S19M350	uncertain
S19M400	XY
S19M450	XY
S19M1000	XY
S19M5000	XY
S19M10000	XY
S19M100000	XY
S19M1000000	XY
S20F150	uncertain
S20F200	uncertain
S20F250	XX
S20F300	uncertain
S20F350	XX
S20F400	uncertain
S20F450	XX
S20F1000	XX
S20F5000	XX
S20F10000	XX
S20F100000	XX
S20F1000000	XX
S20M150	uncertain
S20M200	XY
S20M250	XY
S20M300	XY
