sample	sex_karyotype
E_S11M150_hf0.10	XY
E_S11M150_hf0.50	XY
E_S11M150_hf0.95	XY
E_S11M150_hf1	XY
E_S11M250_hf0.001	XY
E_S11M250_hf0.01	XY
E_S11M250_hf0.10	XY
E_S11M250_hf0.50	XY
E_S11M250_hf0.95	XY
E_S11M250_hf1	XY
E_S11M350_hf0.001	XY
E_S11M350_hf0.01	XY
E_S11M350_hf0.10	XY
E_S11M350_hf0.50	XY
E_S11M350_hf0.95	XY
E_S11M350_hf1	XY
E_S11M450_hf0.001	XY
E_S11M450_hf0.01	XY
E_S11M450_hf0.10	XY
E_S11M450_hf0.50	XY
E_S11M450_hf0.95	XY
E_S11M450_hf1	XY
E_S12F10000_hf0.001	XX
E_S12F10000_hf0.01	XX
E_S12F10000_hf0.10	XX
E_S12F10000_hf0.50	XX
E_S12F10000_hf0.95	XX
E_S12F10000_hf1	XX
E_S12F1000_hf0.001	XX
E_S12F1000_hf0.01	XX
E_S12F1000_hf0.10	XX
E_S12F1000_hf0.50	XX
E_S12F1000_hf0.95	XX
E_S12F1000_hf1	XX
E_S12F150_hf0.001	uncertain
E_S12F150_hf0.01	uncertain
E_S12F150_hf0.10	uncertain
E_S12F150_hf0.50	uncertain
E_S12F150_hf0.95	uncertain
E_S12F150_hf1	uncertain
E_S12F250_hf0.001	XX
E_S12F250_hf0.01	XX
E_S12F250_hf0.10	XX
E_S12F250_hf0.50	XX
E_S12F250_hf0.95	XX
E_S12F250_hf1	XX
E_S12F350_hf0.001	XX
E_S12F350_hf0.01	XX
E_S12F350_hf0.10	XX
E_S12F350_hf0.50	XX
E_S12F350_hf0.95	XX
E_S12F350_hf1	XX
E_S12F450_hf0.001	uncertain
E_S12F450_hf0.01	uncertain
E_S12F450_hf0.10	uncertain
E_S12F450_hf0.50	uncertain
E_S12F450_hf0.95	uncertain
E_S12F450_hf1	uncertain
E_S12M10000_hf0.001	XY
E_S12M10000_hf0.01	XY
E_S12M10000_hf0.10	XY
E_S12M10000_hf0.50	XY
E_S12M10000_hf0.95	XY
E_S12M10000_hf1	XY
E_S12M1000_hf0.001	XY
E_S12M1000_hf0.01	XY
E_S12M1000_hf0.10	XY
E_S12M1000_hf0.50	XY
E_S12M1000_hf0.95	XY
E_S12M1000_hf1	XY
E_S12M150_hf0.001	XY
E_S12M150_hf0.01	XY
E_S12M150_hf0.10	XY
E_S12M150_hf0.50	XY
E_S12M150_hf0.95	XY
E_S12M150_hf1	XY
E_S12M250_hf0.001	XY
E_S12M250_hf0.01	XY
E_S12M250_hf0.10	XY
E_S12M250_hf0.50	XY
E_S12M250_hf0.95	XY
E_S12M250_hf1	XY
E_S12M350_hf0.001	XY
E_S12M350_hf0.01	XY
E_S12M350_hf0.10	XY
E_S12M350_hf0.50	XY
E_S12M350_hf0.95	XY
E_S12M350_hf1	XY
E_S12M450_hf0.001	XY
E_S12M450_hf0.01	XY
