library_id	project_id	sample_id	BioprojectID	PubmedID	project_name	creation_date	seq_platform	sequence_count	basepairs_count	sample_altitude	collection_date	sample_latitude	sample_longitude	sample_location_country	sample_depth	sample_elevation	sample_location_ocean_sea	sample_pH	sample_temperature	aamdb_host_last_meal	aamdb_host_diet	aamdb_host_strain	aamdb_host_body_temp	aamdb_host_breed	aamdb_host_dev_stage	aamdb_diagnosis	aamdb_diagnosis_subclass1	aamdb_scientific_name	aamdb_host_common_name	aamdb_host_life_stage	aamdb_host_age	aamdb_host_sex	aamdb_sample_site_1	aamdb_sample_site_2	aamdb_sample_site_3	aamdb_sample_site_4	quality_above_30_SRA	mean_quality_SRA	drisee_score_raw_MGRAST	source_database	kingdom	phylum	class	order	family	genus	average_length	assembled
SRR1747047	SRX834648	SRS812657	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	16692755	3305165490	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	14.24	female	gut	feces	NA	NA	94	36.41	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747048	SRX834649	SRS812658	"348,753,271,618"	28894102	Baboon feces Metagenome	2/27/15	ILLUMINA	11608000	2321600000	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	15.56	male	gut	feces	NA	NA	92	35.47	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747049	SRX834650	SRS812660	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	10197627	2019130146	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	10.77	female	gut	feces	NA	NA	92	35.58	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747050	SRX834651	SRS812659	"417,962,348,753,271,000,000,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	11473908	2271833784	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	19.56	female	gut	feces	NA	NA	93	36.05	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747051	SRX834652	SRS812661	"348,753,271,618"	28894102	Baboon feces Metagenome	2/27/15	ILLUMINA	8690335	1720686330	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	13.93	female	gut	feces	NA	NA	93	35.82	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747052	SRX834653	SRS812662	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	12193900	2414392200	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	14.11	female	gut	feces	NA	NA	94	36.13	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747053	SRX834654	SRS812663	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	8757699	1734024402	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	22.44	female	gut	feces	NA	NA	93	35.82	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747054	SRX834655	SRS812664	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	10639484	2106617832	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	15.48	female	gut	feces	NA	NA	93	35.92	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747055	SRX834656	SRS812665	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	9900654	1960329492	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	15.33	female	gut	feces	NA	NA	93	36.07	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747056	SRX834657	SRS812666	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	11737044	2323934712	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	6.01	female	gut	feces	NA	NA	92	35.65	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747057	SRX834658	SRS812667	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	9710157	1942031400	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	20.5	female	gut	feces	NA	NA	91	35.27	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747058	SRX834659	SRS812668	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	9549617	1909923400	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	7.51	male	gut	feces	NA	NA	90	34.97	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747059	SRX834660	SRS812669	"348,753,271,618"	28894102	Baboon feces Metagenome	2/27/15	ILLUMINA	15211114	3011800572	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	6.78	female	gut	feces	NA	NA	93	35.89	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747060	SRX834661	SRS812670	271618	NA	Baboon feces Metagenome	2/27/15	ILLUMINA	4565362	913072400	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	4.86	female	gut	feces	NA	NA	93	35.96	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747061	SRX834662	SRS812671	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	40099413	7939683774	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	7.95	male	gut	feces	NA	NA	92	35.59	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747062	SRX834663	SRS812672	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	30610918	6060961764	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	10.38	female	gut	feces	NA	NA	92	35.53	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	198	No
SRR1747063	SRX834664	SRS812673	"417,962,348,753,271,000"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	8412741	1682548200	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	12.57	male	gut	feces	NA	NA	92	35.52	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747064	SRX834665	SRS812674	"348,753,271,618"	28894102	Baboon feces Metagenome	2/27/15	ILLUMINA	7024311	1404862200	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	11.81	female	gut	feces	NA	NA	93	35.86	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
SRR1747065	SRX834666	SRS812675	"417,962,348,753"	"3,014,850,328,894,100"	Baboon feces Metagenome	2/27/15	ILLUMINA	78112768	15622553600	NA	NA	-2.717	37.1	Kenya	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Papio cynocephalus	Baboon	NA	6.97	female	gut	feces	NA	NA	92	35.5	NA	SRA	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	200	No
