Run	actual_sex
S18M450	male
S18M1000	male
S18M5000	male
S18M10000	male
S18M100000	male
S18M1000000	male
S19F150	female
S19F200	female
S19F250	female
S19F300	female
S19F350	female
S19F400	female
S19F450	female
S19F1000	female
S19F5000	female
S19F10000	female
S19F100000	female
S19F1000000	female
S19M150	male
S19M200	male
S19M250	male
S19M300	male
S19M350	male
S19M400	male
S19M450	male
S19M1000	male
S19M5000	male
S19M10000	male
S19M100000	male
S19M1000000	male
S20F150	female
S20F200	female
S20F250	female
S20F300	female
S20F350	female
S20F400	female
S20F450	female
S20F1000	female
S20F5000	female
S20F10000	female
S20F100000	female
S20F1000000	female
S20M150	male
S20M200	male
S20M250	male
S20M300	male
S20M350	male
S20M400	male
S20M450	male
S20M1000	male
S20M5000	male
S20M10000	male
S20M100000	male
S20M1000000	male
S21F150	female
S21F200	female
S21F250	female
S21F300	female
S21F350	female
S21F400	female
S21F450	female
S21F1000	female
S21F5000	female
S21F10000	female
S21F100000	female
S21F1000000	female
S21M150	male
S21M200	male
S21M250	male
S21M300	male
S21M350	male
S21M400	male
S21M450	male
S21M1000	male
S21M5000	male
S21M10000	male
S21M100000	male
S21M1000000	male
S22F150	female
S22F200	female
S22F250	female
S22F300	female
S22F350	female
S22F400	female
S22F450	female
S22F1000	female
S22F5000	female
S22F10000	female
S22F100000	female
S22F1000000	female
S22M150	male
S22M200	male
S22M250	male
S22M300	male
S22M350	male
S22M400	male
S22M450	male
S22M1000	male
S22M5000	male
S22M10000	male
S22M100000	male
S22M1000000	male
S23F150	female
S23F200	female
S23F250	female
S23F300	female
S23F350	female
S23F400	female
S23F450	female
S23F1000	female
S23F5000	female
S23F10000	female
S23F100000	female
S23F1000000	female
S23M150	male
S23M200	male
S23M250	male
S23M300	male
S23M350	male
S23M400	male
S23M450	male
S23M1000	male
S23M5000	male
S23M10000	male
S23M100000	male
S23M1000000	male
S24F150	female
S24F200	female
S24F250	female
S24F300	female
S24F350	female
S24F400	female
S24F450	female
S24F1000	female
S24F5000	female
S24F10000	female
S24F100000	female
S24F1000000	female
S24M150	male
S24M200	male
S24M250	male
S24M300	male
S24M350	male
S24M400	male
S24M450	male
S24M1000	male
S24M5000	male
S24M10000	male
S24M100000	male
S24M1000000	male
S25F150	female
S25F200	female
S25F250	female
S25F300	female
S25F350	female
S25F400	female
S25F450	female
S25F1000	female
S25F5000	female
S25F10000	female
S25F100000	female
S25F1000000	female
S25M150	male
S25M200	male
S25M250	male
S25M300	male
S25M350	male
S25M400	male
S25M450	male
S25M1000	male
S25M5000	male
S25M10000	male
S25M100000	male
S25M1000000	male
S26F150	female
S26F200	female
S26F250	female
S26F300	female
S26F350	female
S26F400	female
S26F450	female
S26F1000	female
S26F5000	female
S26F10000	female
S26F100000	female
S26F1000000	female
S26M200	male
S26M250	male
S26M300	male
S26M350	male
S26M400	male
S26M450	male
S26M1000	male
S26M5000	male
S26M10000	male
S26M100000	male
S26M1000000	male
S27F150	female
S27F200	female
S27F250	female
S27F300	female
S27F350	female
S27F400	female
S27F450	female
S27F1000	female
S27F5000	female
S27F10000	female
S27F100000	female
S27F1000000	female
S27M150	male
S27M200	male
S27M250	male
S27M300	male
S27M350	male
S27M400	male
S27M450	male
S27M1000	male
S27M5000	male
S27M10000	male
S27M100000	male
S27M1000000	male
S28F150	female
S28F200	female
S28F250	female
S28F300	female
S28F350	female
S28F400	female
S28F450	female
S28F1000	female
S28F5000	female
S28F10000	female
S28F100000	female
S28F1000000	female
S28M150	male
S28M200	male
S28M250	male
S28M300	male
S28M350	male
S28M400	male
S28M450	male
S28M1000	male
S28M5000	male
S28M10000	male
S28M100000	male
S28M1000000	male
S29F150	female
S29F200	female
S29F250	female
S29F300	female
S29F350	female
S29F400	female
S29F450	female
S29F1000	female
S29F5000	female
S29F10000	female
S29F100000	female
S29F1000000	female
S29M150	male
S29M200	male
S29M250	male
S29M300	male
S29M350	male
S29M400	male
S29M450	male
S29M1000	male
S29M5000	male
S29M10000	male
S29M100000	male
S29M1000000	male
S30F150	female
S30F200	female
S30F250	female
S30F300	female
S30F350	female
S30F400	female
S30F450	female
S30F1000	female
S30F5000	female
S30F10000	female
S30F100000	female
S30F1000000	female
S30M150	male
S30M200	male
S30M250	male
S30M300	male
S30M350	male
S30M400	male
S30M450	male
S30M1000	male
S30M5000	male
S30M10000	male
S30M100000	male
S30M1000000	male
S31F150	female
S31F200	female
S31F250	female
S31F300	female
S31F350	female
S31F400	female
S31F450	female
S31F1000	female
S31F5000	female
S31F10000	female
S31F100000	female
S31F1000000	female
S31M150	male
S31M200	male
S31M250	male
S31M300	male
S31M350	male
S31M400	male
S31M450	male
S31M1000	male
S31M5000	male
S31M10000	male
S31M100000	male
S31M1000000	male
S32F150	female
S32F200	female
S32F250	female
S32F300	female
S32F350	female
S32F400	female
S32F450	female
S32F1000	female
S32F5000	female
S32F10000	female
S32F100000	female
S32F1000000	female
S32M150	male
S32M200	male
S32M250	male
S32M300	male
S32M350	male
S32M400	male
S32M450	male
S32M1000	male
S32M5000	male
S32M10000	male
S32M100000	male
S32M1000000	male
S33F150	female
S33F200	female
S33F250	female
S33F300	female
S33F350	female
S33F400	female
S33F450	female
S33F1000	female
S33F5000	female
S33F10000	female
S33F100000	female
S33F1000000	female
S33M150	male
S33M200	male
S33M250	male
S33M300	male
S33M350	male
S33M400	male
S33M450	male
S33M1000	male
S33M5000	male
S33M10000	male
S33M100000	male
S33M1000000	male
S34F150	female
S34F200	female
S34F250	female
S34F300	female
S34F350	female
S34F400	female
S34F450	female
S34F1000	female
S34F5000	female
S34F10000	female
S34F100000	female
S34F1000000	female
S34M150	male
S34M200	male
