Run	sex_karyotype
SRR061968	XX
SRR061971	XY
SRR061972	XY
SRR061979	XY
SRR061980	XY
SRR061985	XYY
SRR061986	uncertain
SRR061991	XX
SRR061992	XX
SRR061993	XX
SRR061994	XX
SRR061995	XX
SRR061996	XX
SRR061999	XX
SRR062000	XX
SRR062001	XX
SRR062002	XX
SRR062005	XX
SRR062006	XX
SRR062007	XX
SRR062008	XX
SRR062013	XY
SRR062014	XY
SRR062015	XY
SRR062017	XY
SRR062018	XY
SRR062019	XY
SRR062020	XX
SRR062023	XX
SRR062024	XX
SRR062025	XX
SRR062026	XX
SRR062033	XY
SRR062034	XY
SRR062037	uncertain
SRR062038	XY
SRR062041	XY
SRR062042	XY
SRR062046	XY
SRR062051	XX
SRR062052	XX
SRR062054	XX
SRR062055	XX
SRR062056	XX
SRR062076	XX
SRR062077	XX
SRR062082	XX
SRR062083	XX
SRR062086	XX
SRR062087	XX
SRR062090	XX
SRR062091	XX
SRR062092	XX
SRR062094	XX
SRR062096	XX
SRR062097	XX
SRR062101	XY
SRR062104	XY
SRR062105	XY
SRR062276	XX
SRR062277	XX
SRR062278	XX
SRR062279	XX
SRR062280	XYY
SRR062289	XYY
SRR062290	XX
SRR062291	XX
SRR062293	XX
SRR062294	XX
SRR062295	XX
SRR062296	XX
SRR062298	XX
SRR062299	XX
SRR062301	XX
SRR062302	XX
SRR062303	XX
SRR062317	XYY
SRR062319	XYY
SRR062320	XX
SRR062321	XX
SRR062322	XX
SRR062323	XX
SRR062324	XX
SRR062325	XX
SRR062330	XX
SRR062331	XX
SRR062332	XX
SRR062333	XX
SRR062334	XX
SRR062339	XX
SRR062343	XYY
SRR062350	XX
SRR062351	XX
SRR062352	XX
SRR062353	XX
SRR062354	XX
SRR062355	XX
SRR062356	XX
SRR062357	XX
SRR062358	XX
SRR062359	XX
SRR062361	XX
SRR062362	XX
SRR062363	XX
SRR062366	XX
SRR062367	XX
SRR062368	XX
SRR062371	XY
SRR062372	XY
SRR062379	uncertain
SRR062381	XX
SRR062382	XX
SRR062384	XX
SRR062388	XX
SRR062389	XX
SRR062391	XYY
SRR062392	XYY
SRR062393	XYY
SRR062394	XYY
SRR062400	XX
SRR062402	XX
SRR062403	XX
SRR062404	XX
SRR062405	XX
SRR062406	XX
SRR062407	XX
SRR062409	XX
SRR062410	XX
SRR062415	XX
SRR062416	XX
SRR062417	XX
SRR062420	XX
SRR062421	XX
SRR062424	XX
SRR062425	XX
SRR062430	uncertain
SRR062432	XY
SRR062435	XY
SRR062436	XY
SRR062437	uncertain
SRR062438	XY
SRR062439	XY
SRR062440	XX
SRR062441	XX
SRR062442	XX
SRR062443	XX
SRR062444	XX
SRR062445	XX
SRR062446	XX
SRR062447	XX
SRR062449	XX
SRR062450	XX
SRR062452	XYY
SRR062461	XYY
SRR062462	uncertain
SRR062477	XX
SRR062478	XX
SRR062481	XX
SRR062485	XX
SRR062486	XX
SRR062487	XX
SRR062488	XX
SRR062489	XX
SRR062490	XX
SRR062491	XX
SRR062492	XX
SRR062493	XX
SRR062495	XX
SRR062496	XX
SRR062498	XX
SRR062500	XX
SRR062501	XX
SRR062504	XX
SRR062505	XX
SRR062506	XX
SRR062508	XX
SRR062509	XX
SRR062510	XYY
SRR062512	XYY
SRR062513	XYY
SRR062515	XYY
SRR062516	uncertain
SRR062519	XYY
SRR062521	XX
SRR062522	XX
SRR062523	XX
SRR062526	XX
SRR062528	XX
SRR062529	XX
SRR062533	XYY
SRR062536	XYY
SRR062537	XYY
SRR063464	XX
SRR063465	XX
SRR063466	XX
SRR063467	XX
SRR063468	XX
SRR063469	XX
SRR063471	XX
SRR063488	XYY
SRR063490	XX
SRR063491	XX
SRR063492	XX
SRR063496	XX
SRR063498	XX
SRR063500	XX
SRR063502	XX
SRR063504	XX
SRR063505	XX
SRR063506	XX
SRR063507	XX
SRR063510	XX
SRR063511	XX
SRR063512	XX
SRR063513	XX
SRR063517	XX
SRR063518	XX
SRR063520	uncertain
SRR063522	XYY
SRR063524	uncertain
SRR063526	uncertain
SRR063527	uncertain
SRR063528	uncertain
SRR063529	XY
SRR063530	XX
SRR063531	XX
SRR063532	XX
SRR063533	XX
SRR063536	XX
SRR063537	XX
SRR063746	XY
SRR063788	XX
SRR063789	XX
SRR063790	XX
SRR063912	XX
SRR063915	XX
SRR063918	XX
SRR063919	XX
SRR063920	XY
SRR063923	XY
SRR063925	XY
SRR063926	XY
SRR063927	XY
SRR064530	XX
SRR064531	XX
SRR064532	XX
SRR066418	XX
SRR066421	XX
SRR1031060	XY
SRR1031062	XY
SRR1031069	XY
SRR1031077	XY
SRR1031101	XY
SRR1031103	XY
SRR1031111	XY
SRR1031112	XY
SRR1031122	XY
SRR1031123	XY
SRR1031135	XY
SRR1031143	XY
SRR1031146	XY
SRR1031151	XY
SRR1031158	XY
SRR1031162	XY
SRR1031165	XY
SRR1031182	XY
SRR1031185	XY
SRR1031186	XY
SRR1031196	XY
SRR1031197	XY
SRR1031202	XY
SRR1031205	XY
SRR1031245	XY
SRR1031305	XY
SRR1031307	XY
SRR1031314	XY
SRR1031320	XY
SRR1031364	XY
SRR1031370	XY
SRR1031372	XY
SRR1031375	XY
SRR1031380	XY
SRR1031390	XY
SRR1031396	XY
SRR1031424	XY
SRR1031435	XY
SRR1031451	XY
SRR1031454	XY
SRR1031455	XY
SRR1031457	XY
SRR1031458	XY
SRR1031464	XY
SRR1031467	XY
SRR1031468	XY
SRR1031474	XY
SRR1031484	XY
SRR1031486	XY
SRR1031489	XY
SRR1031494	XY
SRR1031498	XY
SRR1031502	XY
SRR1031504	XY
SRR1031510	XY
SRR1031517	XY
SRR1031532	XY
SRR1031536	XY
SRR1031546	XY
SRR1031556	XY
SRR1031563	XY
SRR1031574	XY
SRR1031579	XY
SRR1031584	XY
SRR1031589	XY
SRR1031590	XY
SRR1031612	XY
SRR1031634	XY
SRR1031643	XY
SRR1031668	XY
SRR1031696	XY
SRR1031708	XY
SRR1031722	XY
SRR1031725	XY
SRR1031733	XY
SRR1031749	XY
SRR1031767	XY
SRR1031771	XY
SRR1031807	XY
SRR1031844	XY
SRR1031846	XY
SRR1031849	XY
SRR1031850	XY
SRR1031863	XY
SRR1031864	XY
SRR1031868	XY
SRR1031874	XY
SRR1031910	XY
SRR1031921	XY
SRR1031940	XY
SRR1175009	XY
SRR1179029	XY
SRR1564230	uncertain
SRR1564234	XY
SRR1564317	XY
SRR1564371	XY
SRR1564890	XXY
SRR1565331	XY
SRR1565831	XY
SRR1568834	XY
SRR1568858	XY
SRR1568860	XY
SRR1568872	XY
SRR1568885	XY
SRR1568889	XY
SRR1568899	XY
SRR1568900	uncertain
SRR1568946	XY
SRR1568987	XY
SRR1568990	XY
SRR1569222	XY
SRR1569261	XY
SRR1569275	XY
SRR1569289	XY
SRR1569294	XY
SRR1569298	XY
SRR1569311	XY
SRR1569391	XY
SRR1569419	XY
SRR1569428	XY
SRR1569921	XY
SRR1569939	XY
SRR1569947	XY
SRR1570033	XY
SRR1570080	XY
SRR1570139	XY
SRR1571078	XXY
SRR1571082	XY
SRR1571131	XY
SRR1571143	XY
SRR1571178	XY
SRR1571190	XY
SRR1571591	uncertain
SRR1571603	XY
SRR1571611	XY
SRR1571616	XY
SRR1571619	XY
SRR1571629	XY
SRR1571632	uncertain
SRR1571644	XY
SRR1571668	XY
SRR346654	XX
SRR346656	XX
SRR346660	XX
SRR346661	XX
SRR346662	XX
SRR346663	XX
SRR346665	XX
SRR346668	XX
SRR346671	uncertain
SRR346672	uncertain
SRR346673	XYY
SRR346674	XYY
SRR346676	XY
SRR346677	XY
SRR346678	uncertain
SRR346681	XY
SRR346690	XX
SRR346691	XX
SRR346692	XX
SRR346693	XX
SRR346694	XX
SRR346695	XX
SRR346697	XX
SRR346702	XX
SRR346704	XX
SRR346706	XY
SRR346709	XX
SRR346714	uncertain
SRR346716	XYY
SRR346717	XYY
SRR353618	XX
SRR353621	XY
SRR353622	XYY
SRR353623	XY
SRR353624	XX
SRR353628	XX
SRR353629	XX
SRR353632	XX
SRR353633	XX
SRR511293	XY
SRR511294	XX
SRR511518	uncertain
SRR511749	XX
SRR511753	XX
SRR511925	XYY
SRR511926	XYY
SRR512078	XX
SRR512082	XX
SRR512083	XX
SRR512084	XX
SRR512299	XYY
SRR512767	XX
SRR512768	XX
SRR512769	XX
SRR512770	uncertain
SRR512794	XX
SRR512795	XX
SRR512797	XX
SRR512798	XX
SRR513142	XYY
SRR513144	XYY
SRR513145	XYY
SRR513146	XYY
SRR513147	XYY
SRR513148	XYY
SRR513149	XYY
SRR513150	XX
SRR513151	XX
SRR513153	XX
SRR513154	XX
SRR513156	XX
SRR513157	XX
SRR513159	XX
SRR513160	XX
SRR513161	XX
SRR513162	XX
SRR513164	XX
SRR513165	XX
SRR513166	XX
SRR513167	XX
SRR513168	XX
SRR513169	XX
SRR513171	uncertain
SRR513172	XYY
SRR513173	XYY
SRR513176	XYY
SRR513177	XYY
SRR513180	XX
SRR513181	XX
SRR513372	XX
SRR513373	XX
SRR513374	XX
SRR513375	XX
SRR513376	XX
SRR513378	XX
SRR513381	XY
SRR513382	XX
SRR513436	XYY
SRR513437	XYY
SRR513438	XYY
SRR513440	XX
SRR513442	XX
SRR513445	XX
SRR513448	XX
SRR513449	XX
SRR513451	XYY
SRR513452	XYY
SRR513764	XX
SRR513766	XX
SRR513767	XX
SRR513768	XX
SRR513769	XX
SRR513770	XYY
SRR513774	XYY
SRR513775	XYY
SRR513778	XYY
SRR513780	uncertain
SRR513781	XYY
SRR513783	XYY
SRR513785	uncertain
SRR513787	XYY
SRR513789	XYY
SRR513793	XYY
SRR513794	XYY
SRR513798	XYY
SRR513799	uncertain
SRR513800	uncertain
SRR513801	XYY
SRR513806	XY
SRR513807	XY
SRR513810	XX
SRR513813	XX
SRR513815	XX
SRR513820	XY
SRR513822	XYY
SRR513823	XYY
SRR513824	XYY
SRR513828	XYY
SRR513829	XYY
SRR513830	XX
SRR514004	XX
SRR514179	XX
SRR514180	uncertain
SRR514183	XX
SRR514190	XX
SRR514191	XX
SRR514192	XX
SRR514193	XX
SRR514194	XX
SRR514198	XX
SRR514199	XX
SRR514202	XYY
SRR514203	XYY
SRR514204	XYY
SRR514209	uncertain
SRR514211	XX
SRR514212	XX
SRR514215	XX
SRR514217	XX
SRR514218	XX
SRR514219	XX
SRR514220	XX
SRR514222	XX
SRR514223	XYY
SRR514226	XX
SRR514230	XX
SRR514231	XX
SRR514232	XX
SRR514236	XX
SRR514237	XX
SRR514238	XX
SRR514239	XX
SRR514241	XX
SRR514242	XX
SRR514243	XX
SRR514245	XX
SRR514247	XYY
SRR514248	XX
SRR514249	XX
SRR514252	uncertain
SRR514254	XYY
SRR514255	XYY
SRR514257	XYY
SRR514258	XYY
SRR514261	XX
SRR514262	XX
SRR514264	XX
SRR514265	XX
SRR514266	XX
SRR514267	XX
SRR514269	XX
SRR514271	XYY
SRR514306	XX
SRR514308	XX
SRR514313	XX
SRR514318	XX
SRR514319	XX
SRR514320	XX
SRR514321	XX
SRR514322	XX
SRR514323	XX
SRR514324	XX
SRR514329	XX
SRR514838	XX
SRR514839	XX
SRR514840	XX
SRR514841	XX
SRR514843	XX
SRR514844	XX
SRR514847	XX
SRR514848	XX
SRR514851	XYY
SRR514852	XYY
SRR520265	XX
SRR520266	XX
SRR520268	XYY
SRR527936	XY
SRR527967	XY
SRR527983	XY
SRR528025	XY
SRR528055	XY
SRR528097	XY
SRR528137	XY
SRR528174	XY
SRR528242	XY
SRR528307	XY
SRR528364	XY
SRR528400	XY
SRR528484	XY
SRR531257	XY
SRR531366	XY
SRR531367	XY
SRR531368	XY
SRR531384	XY
SRR531388	XY
SRR531401	XY
SRR531489	XY
SRR531498	XY
SRR531499	XY
SRR531503	XY
SRR531508	XY
SRR531511	XY
SRR531512	XY
SRR531513	XY
SRR531521	XY
SRR531539	XY
SRR531569	XY
SRR531571	XY
SRR531572	XY
SRR531573	XY
SRR531575	XY
SRR531577	XY
SRR531662	XY
SRR531672	XY
SRR531673	XY
SRR531674	XY
SRR531679	XY
SRR532022	XY
SRR532192	XY
SRR532218	XY
SRR532239	XY
SRR532244	XY
SRR532296	XY
SRR532301	XY
SRR532302	XY
SRR532304	XY
SRR532310	XY
SRR532314	XY
SRR532316	XY
SRR532325	XY
SRR532327	XY
SRR532354	XY
SRR532368	XY
SRR532373	XY
SRR532377	XY
SRR532379	XY
SRR532384	XY
SRR532385	XY
SRR532409	XY
SRR532426	XY
SRR532429	XY
SRR532430	XY
SRR532432	XY
SRR532434	XY
SRR532440	XY
SRR532446	XY
SRR532460	XY
SRR532462	XY
SRR532466	XY
SRR532486	XY
SRR532488	XY
SRR532557	XY
SRR532558	XY
SRR532561	XY
SRR532566	uncertain
SRR532568	XY
SRR532617	XY
SRR532621	XY
SRR532629	XY
SRR532632	XY
SRR532643	XY
SRR532645	XY
SRR532650	XY
SRR532710	XY
SRR532715	XY
SRR532724	XY
SRR532729	XY
SRR532739	XY
SRR532742	XY
SRR532773	XY
SRR532776	XY
SRR532785	XY
SRR532789	XY
SRR532796	XY
SRR532798	XY
SRR532800	XY
SRR532808	XY
SRR532815	XY
SRR532832	XY
SRR532837	XY
SRR532841	XY
SRR532845	XY
SRR532847	XY
SRR532848	XY
SRR532853	XY
SRR532854	XY
SRR532859	XY
SRR532861	XY
SRR532864	XY
SRR532865	XY
SRR532867	XY
SRR532872	XY
SRR532875	XY
SRR532893	XY
SRR532927	XY
SRR532940	XY
SRR532951	XY
SRR533065	XY
SRR533135	XY
SRR533161	XY
SRR533182	XY
SRR533183	XY
SRR533188	uncertain
SRR533190	XY
SRR533193	uncertain
SRR533195	XY
SRR533200	XY
SRR533210	XY
SRR533211	XY
SRR533212	XY
SRR533216	XY
SRR533217	XY
SRR533220	XY
SRR533226	XY
SRR533240	XY
SRR533246	XY
SRR533260	XY
SRR533270	XY
SRR533274	XY
SRR533333	XY
SRR533342	XY
SRR533357	XY
SRR533366	XY
SRR533371	XY
SRR533375	XY
SRR533377	XY
SRR533380	XY
SRR533393	XY
SRR533401	XY
SRR533412	XY
SRR533419	XY
SRR533423	uncertain
SRR533426	XY
SRR533428	uncertain
SRR533439	XY
SRR533450	XY
SRR533471	XY
SRR533498	XY
SRR533513	XY
SRR533516	XY
SRR533543	XY
SRR533544	XY
SRR533549	XY
SRR533669	XY
SRR533677	XY
SRR533678	XY
SRR533679	XY
SRR533683	XY
SRR533684	XY
SRR533685	XY
SRR533688	XY
SRR533689	XY
SRR533692	XY
SRR533694	XY
SRR533704	XY
SRR533707	XY
SRR533710	XY
SRR533714	uncertain
SRR533720	XY
SRR533729	XY
SRR533733	XY
SRR533768	XY
SRR533770	XY
SRR533773	XY
SRR533776	XY
SRR533778	XY
SRR533783	XY
SRR533789	XY
SRR533790	XY
SRR533792	XY
SRR533794	XY
SRR533795	XY
SRR533798	XY
SRR533799	XY
SRR533803	XY
SRR533818	XY
SRR533820	XY
SRR533822	XY
SRR533824	XY
SRR533827	XY
SRR533849	XY
SRR533855	XY
SRR533856	XY
SRR533885	XY
SRR533895	XY
SRR534443	XY
SRR534573	XY
SRR537658	uncertain
SRR537662	XY
SRR537689	XY
SRR537707	XY
SRR537714	XY
SRR537720	XY
SRR537743	XY
SRR537746	XY
SRR537762	XY
SRR537778	XY
SRR537780	XY
SRR537784	XY
SRR537814	XY
SRR537818	XY
SRR537819	XY
SRR537830	XY
SRR537842	XY
SRR537894	XY
SRR537913	XY
SRR537917	XY
SRR537922	XY
SRR537924	XY
SRR537932	XY
SRR537933	uncertain
SRR537937	XY
SRR537948	XY
SRR537949	XY
SRR537950	XY
SRR537955	XY
SRR537956	XY
SRR537959	XY
SRR537967	XY
SRR537969	XY
SRR537986	XY
SRR537988	XY
SRR537992	XY
SRR537994	XY
SRR537999	XY
SRR538076	XY
SRR538122	XY
SRR538135	XY
SRR538148	XY
SRR538152	XY
SRR538165	XY
SRR538180	XY
SRR538184	XY
SRR538192	XY
SRR538200	XY
SRR538244	XY
SRR538247	XY
SRR538250	XY
SRR539255	XY
SRR539299	XY
SRR539318	XY
SRR539421	XY
SRR539423	XY
SRR539438	XY
SRR539449	XY
SRR539457	XY
SRR539458	XY
SRR539479	XY
SRR539501	XY
SRR539508	XY
SRR539515	XY
SRR539528	XY
SRR539534	XY
SRR539544	XY
SRR539545	XY
SRR539546	XY
SRR539556	XY
SRR539558	XY
SRR539561	XY
SRR539565	XY
SRR539566	XY
SRR539571	XY
SRR539572	XY
SRR539574	XY
SRR539591	XY
SRR539608	XY
SRR539635	XY
SRR539657	XY
SRR539659	XY
SRR539667	XY
SRR539672	XY
SRR539673	XY
SRR539675	XY
SRR539700	XY
SRR539714	XY
SRR539746	XY
SRR539810	XY
SRR539829	XY
SRR539830	XY
SRR539831	XY
SRR539871	XY
SRR539896	XY
SRR539908	XY
SRR539909	XY
SRR539911	XY
SRR539913	XY
SRR539918	XY
SRR539919	XY
SRR539925	XY
SRR539928	XY
SRR539931	XY
SRR539933	XY
SRR539934	XY
SRR540373	XY
SRR540375	uncertain
SRR540398	XY
SRR540448	XY
SRR540454	XY
SRR540459	XY
SRR540463	XY
SRR540466	XY
SRR540467	XY
SRR540472	XY
SRR540474	XY
SRR540475	XY
SRR540476	XY
SRR540477	XY
SRR540479	XY
SRR540480	XY
SRR540481	XY
SRR540483	XY
SRR540487	uncertain
SRR540494	XY
SRR540498	XY
SRR540507	XY
SRR540512	XY
SRR540522	XY
SRR540523	XY
SRR540528	XY
SRR540546	XY
SRR540571	XY
SRR540599	XY
SRR540659	XY
SRR540677	XY
SRR540682	XY
SRR540725	XY
SRR540739	XY
SRR540743	XY
SRR540744	XY
SRR540758	XY
SRR540774	XY
SRR540793	XY
SRR540807	XY
SRR540813	XY
SRR540852	XY
SRR540862	XY
SRR540864	XY
SRR540868	XY
SRR540871	XY
SRR540872	XY
SRR540873	XY
SRR540881	XY
SRR540882	XY
SRR540883	XY
SRR540899	XY
SRR540901	XY
SRR540903	XY
SRR540910	XY
SRR540913	XY
SRR540916	XY
SRR541035	XY
SRR541044	XY
SRR541046	XY
SRR541052	XY
SRR541058	XY
SRR541084	XY
SRR541091	XY
SRR541116	XY
SRR541131	XY
SRR541138	XY
SRR541140	XY
SRR541154	XY
SRR541258	XY
SRR541262	XY
SRR541267	XY
SRR541269	XY
SRR541270	XY
SRR541273	XY
SRR541274	XY
SRR541277	XY
SRR541278	XY
SRR541283	XY
SRR541284	XY
SRR541289	XY
SRR545235	XY
SRR545245	XY
SRR545246	XY
SRR545253	XY
SRR545257	XY
SRR545259	XY
SRR545344	XY
SRR545347	XY
SRR545358	XY
SRR545370	XY
SRR545379	XY
SRR545453	XY
SRR545459	XY
SRR545473	XY
SRR545487	XY
SRR545492	XY
SRR545493	XY
SRR545495	XY
SRR545498	XY
SRR545500	XY
SRR545503	XY
SRR545508	XY
SRR545513	XY
SRR545518	XY
SRR545625	XY
SRR545635	XY
SRR545652	XY
SRR545657	uncertain
SRR549418	XY
SRR549424	XY
SRR549425	XY
SRR549427	XY
SRR549439	XY
SRR549443	XY
SRR549463	XY
SRR549501	XY
SRR549523	XY
SRR549546	XY
SRR549610	XY
SRR549653	XY
SRR549660	XY
SRR549729	XY
SRR569352	XY
SRR569358	XY
SRR569363	XY
SRR580929	XY
SRR628255	XYY
SRR628256	XYY
SRR628259	XYY
SRR628261	XX
SRR628264	XX
SRR628266	XX
SRR628270	XYY
SRR628271	XYY
SRR628272	XYY
SRR628273	XY
SRR628275	XYY
SRR628276	XYY
SRR628280	XX
SRR628281	XX
SRR638742	XY
SRR638747	XY
SRR638748	XY
SRR638755	XY
SRR638758	XY
SRR638788	XY
SRR638789	XY
SRR638790	XY
SRR638796	XY
SRR638801	XY
SRR638804	XY
SRR638810	XY
SRR638812	XY
SRR638814	XY
SRR638815	XY
SRR638818	XY
SRR638824	XY
SRR638832	XY
SRR638836	XY
SRR638859	XY
SRR640344	XY
SRR640353	XY
SRR640374	XY
SRR640382	XY
SRR640400	XY
SRR640407	XY
SRR640413	XY
SRR640414	XY
SRR640446	XY
SRR640519	XY
SRR640521	XY
SRR640528	XY
SRR640529	XY
SRR640549	XY
SRR642015	XY
SRR642016	XY
SRR642017	XY
SRR642019	XY
