Run	Assay Type	BioProject	BioSample	Center Name	Consent	ENA-FIRST-PUBLIC (run)	ENA-LAST-UPDATE (run)	Experiment	external_id	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	Sample_name	SRA Study	Submitter_Id	DATASTORE filetype	DATASTORE provider	DATASTORE region	AvgSpotLen	Bases	Bytes	Collection_Date	ena_first_public	ena_last_update	environment_(biome)	environment_(feature)	environment_(material)	geo_loc_name_country	geo_loc_name_country_continent	geographic_location_(country_and/or_sea)	geographic_location_(latitude)	geographic_location_(longitude)	Host_age	host-associated_environmental_package	host_body_habitat	host_body_product	host_body_site	host_common_name	host_sex	host_taxid	Investigation_type	project_name	create_date	version	Scientific_Name	Sequencing_method	subspecific_genetic_lineage	ENA_first_public	ena_last_update.1	INSDC_center_alias	common_name
ERR3275129	WGS	PRJEB31266	SAMEA5383981	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302002	SAMEA5383981	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0048	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383981	10677_0048	ERP113798	10677_0048	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	37601288400	17372926385	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	609 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T14:40:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275130	WGS	PRJEB31266	SAMEA5383946	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302003	SAMEA5383946	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0049	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383946	10677_0049	ERP113798	10677_0049	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	38643354000	17927975309	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	626 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T14:41:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275131	WGS	PRJEB31266	SAMEA5383953	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302004	SAMEA5383953	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0050	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383953	10677_0050	ERP113798	10677_0050	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	38366262300	17669033459	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	591 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T15:01:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275132	WGS	PRJEB31266	SAMEA5383957	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302005	SAMEA5383957	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0051	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383957	10677_0051	ERP113798	10677_0051	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	38180769300	17643385261	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	630 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T14:40:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275133	WGS	PRJEB31266	SAMEA5383959	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302006	SAMEA5383959	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:55Z	public	Illumina HiSeq 4000	10677_0052	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383959	10677_0052	ERP113798	10677_0052	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	38445131700	17687188919	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:55Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	652 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T14:58:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275134	WGS	PRJEB31266	SAMEA5383964	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302007	SAMEA5383964	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:55Z	public	Illumina HiSeq 4000	10677_0053	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383964	10677_0053	ERP113798	10677_0053	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	44565693600	20525398733	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:55Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	632 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T15:19:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275135	WGS	PRJEB31266	SAMEA5383965	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302008	SAMEA5383965	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0054	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383965	10677_0054	ERP113798	10677_0054	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	42773527200	19250383129	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	606 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T15:00:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
ERR3275136	WGS	PRJEB31266	SAMEA5383969	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302009	SAMEA5383969	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0055	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383969	10677_0055	ERP113798	10677_0055	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	41927091900	18972154003	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	642 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-16T20:21:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275137	WGS	PRJEB31266	SAMEA5383970	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302010	SAMEA5383970	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	public	Illumina HiSeq 4000	10677_0056	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383970	10677_0056	ERP113798	10677_0056	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	41531093100	19160299047	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:56Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	632 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-15T15:21:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	Luing				
ERR3275138	WGS	PRJEB31266	SAMEA5383972	THE ROSLIN INSTITUTE	public	4/10/19	4/10/19	ERX3302011	SAMEA5383972	THE ROSLIN INSTITUTE	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	public	Illumina HiSeq 4000	10677_0057	PAIRED	RANDOM	METAGENOMIC	bovine gut metagenome	ILLUMINA	2019-04-11T00:00:00Z	SAMEA5383972	10677_0057	ERP113798	10677_0057	fastq,run.zq,sra	ena,gs,ncbi,s3	ena,gs.us-east1,ncbi.public,s3.us-east-1	300	40863965700	19000609906	not collected	2019-04-10T17:03:52Z	2019-05-31T10:58:57Z	Bos taurus	stomach	bodily fluid	United Kingdom	Europe	United Kingdom	55.861398	-3.206493	590 days	host-associated	gut	rumen fluid	rumen	cow	male	9913	metagenome	Metagenomic sequencing of the rumen of 240 cattle from Scotland	2019-04-16T19:59:00Z	1	bovine gut metagenome	Illumina HiSeq 4000	CHx				
